WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,NO,4,3,0,4,4,0,0,4,2,0,4,4,0,0
2,CIN,1,1,0,1,1,0,0,3,1,0,3,3,0,0
3,TB,8,0,0,8,8,0,0,2,0,0,2,2,0,0
4,MIN,4,0,0,4,4,0,0,4,4,0,3,3,1,1
5,NYG,2,2,0,2,2,0,0,3,3,0,3,3,0,0
6,CHI,1,2,0,1,1,0,0,3,2,0,1,2,1,1
7,BAL,1,1,0,1,1,0,0,3,2,1,3,3,0,0
8,DET,3,0,0,3,3,0,0,2,3,0,1,1,0,1
10,TB,2,4,0,1,1,1,1,2,1,0,2,2,0,0
11,CAR,1,4,0,1,1,0,0,2,1,0,2,2,0,0
12,CLE,3,1,0,3,3,0,0,2,4,0,2,2,0,0
13,ARI,2,5,0,2,2,0,0,2,1,0,1,1,1,1
14,GB,5,1,0,4,4,0,1,5,3,0,4,5,0,0
