WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,CIN,2,1,0,1,1,0,1,1,5,0,0,0,1,1
2,PIT,2,4,0,2,2,0,0,0,2,0,0,0,0,0
3,CLE,2,3,0,2,2,0,0,3,0,0,3,3,0,0
4,CAR,5,1,0,5,5,0,0,1,1,0,1,1,0,0
5,IND,1,2,0,1,1,0,0,2,2,0,2,2,0,0
6,TB,6,2,0,6,6,0,0,2,1,0,2,2,0,0
7,ATL,3,2,1,3,3,0,0,1,0,0,1,1,0,0
8,CIN,2,3,0,1,1,1,1,3,2,0,3,3,0,0
9,PIT,3,1,0,2,2,0,1,6,0,0,5,5,1,1
10,TEN,3,0,0,3,3,0,0,1,0,0,1,1,0,0
12,NO,4,2,0,4,4,0,0,3,2,0,3,3,0,0
13,BAL,3,4,0,3,3,0,0,4,2,0,4,4,0,0
14,MIA,4,0,0,4,4,0,0,1,2,0,1,1,0,0
15,JAX,2,2,0,2,2,0,0,0,4,0,0,0,0,0
