WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,BUF,2,2,0,2,2,0,0,2,3,0,2,2,0,0
2,SF,4,0,0,4,4,0,0,2,2,0,2,2,0,0
3,NYJ,3,2,0,3,3,0,0,1,4,0,1,1,0,0
4,GB,2,1,0,2,2,0,0,5,1,0,5,5,0,0
5,CAR,3,1,0,3,3,0,0,4,1,0,4,4,0,0
6,ATL,3,2,0,1,2,1,1,1,2,0,1,1,0,0
7,MIA,2,0,0,2,2,0,0,3,2,0,3,3,0,0
8,NE,3,0,0,1,1,2,2,6,3,0,6,6,0,0
10,GB,2,0,0,2,2,0,0,7,2,0,7,7,0,0
11,MIN,3,0,0,3,3,0,0,1,2,0,1,1,0,0
12,TB,3,0,0,3,3,0,0,1,2,0,1,1,0,0
13,DET,2,1,0,2,2,0,0,4,2,0,4,4,0,0
14,DAL,4,0,0,2,3,1,1,5,2,0,5,5,0,0
15,NO,2,0,0,1,1,1,1,4,1,0,4,4,0,0
16,DET,2,0,0,2,2,0,0,2,2,0,2,2,0,0
17,MIN,0,3,0,0,0,0,0,1,2,0,1,1,0,0
