WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,BAL,1,5,0,0,0,1,1,2,1,0,1,1,0,1
2,ATL,3,1,0,3,3,0,0,1,1,0,1,1,0,0
3,TEN,4,1,1,4,4,0,0,1,0,0,1,1,0,0
5,NE,2,1,0,2,2,0,0,4,5,0,4,4,0,0
6,CAR,4,3,0,4,4,0,0,4,3,0,4,4,0,0
7,IND,0,0,0,0,0,0,0,3,2,0,3,3,0,0
8,BAL,3,2,0,3,3,0,0,2,3,0,1,1,1,1
9,JAX,4,1,1,4,4,0,0,3,1,0,2,2,0,1
10,CLE,0,1,0,0,0,0,0,3,1,0,3,3,0,0
11,NO,3,2,0,3,3,0,0,1,1,0,1,1,0,0
12,HOU,2,2,1,2,2,0,0,1,2,0,1,1,0,0
13,TB,2,0,0,2,2,0,0,1,2,0,1,1,0,0
14,PIT,3,0,0,3,3,0,0,5,2,0,4,4,1,1
15,CLE,3,3,0,3,3,0,0,0,0,0,0,0,0,0
16,DEN,4,3,0,4,4,0,0,4,0,0,4,4,0,0
