WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,SF,2,1,0,2,2,0,0,4,0,0,4,4,0,0
2,TEN,2,4,0,2,2,0,0,1,1,0,1,1,0,0
3,STL,4,2,0,4,4,0,0,4,1,0,4,4,0,0
4,NO,5,1,0,5,5,0,0,2,1,0,2,2,0,0
5,HOU,2,2,0,2,2,0,0,2,1,0,2,2,0,0
6,SEA,3,3,0,3,3,0,0,2,3,0,2,2,0,0
7,NYG,4,1,0,4,4,0,0,3,0,0,3,3,0,0
8,WAS,2,1,0,2,2,0,0,2,2,0,2,2,0,0
9,ARI,2,1,0,2,2,0,0,4,0,0,4,4,0,0
10,JAX,4,1,0,4,4,0,0,2,0,1,1,1,1,1
12,NYG,4,1,0,4,4,0,0,4,0,0,4,4,0,0
13,PHI,1,1,0,1,1,0,0,3,4,0,3,3,0,0
14,CHI,5,2,0,5,5,0,0,4,0,0,2,3,1,1
15,PHI,5,1,0,5,5,0,0,3,2,0,3,3,0,0
16,IND,7,0,0,7,7,0,0,1,0,0,1,1,0,0
