WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,NYG,4,2,0,3,3,1,1,2,0,0,2,2,0,0
2,CAR,1,0,0,1,1,0,0,2,3,0,1,1,1,1
3,GB,2,1,1,2,2,0,0,1,0,0,1,1,0,0
4,NYJ,3,1,0,3,3,0,0,2,1,0,2,2,0,0
5,BUF,2,0,0,2,2,0,0,1,3,0,0,0,1,1
6,MIN,2,1,0,2,2,0,0,0,1,0,0,0,0,0
7,NO,3,1,0,3,3,0,0,2,3,0,2,2,0,0
8,ATL,2,3,0,1,1,0,1,3,0,0,3,3,0,0
10,MIA,2,2,0,2,2,0,0,1,3,0,1,1,0,0
11,ARI,0,2,0,0,0,0,0,2,0,0,2,2,0,0
12,NE,0,3,0,0,0,0,0,4,2,0,4,4,0,0
13,CHI,4,2,0,4,4,0,0,2,1,0,2,2,0,0
14,TB,4,2,0,4,4,0,0,2,1,0,2,2,0,0
15,MIN,1,3,0,1,1,0,0,2,0,0,2,2,0,0
16,CHI,2,2,0,2,2,0,0,2,0,0,2,2,0,0
17,GB,3,0,0,2,2,0,1,4,0,0,4,4,0,0
