WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,SEA,2,1,0,1,1,0,1,4,2,1,4,4,0,0
2,NYJ,3,3,0,2,2,1,1,3,1,0,3,3,0,0
3,DET,1,0,0,1,1,0,0,2,1,1,2,2,0,0
4,CHI,5,1,0,5,5,0,0,2,1,0,2,2,0,0
5,MIN,6,0,0,6,6,0,0,1,1,0,1,1,0,0
6,MIA,3,2,0,3,3,0,0,3,1,0,3,3,0,0
7,CAR,5,1,0,5,5,0,0,2,1,0,2,2,0,0
8,NO,2,3,0,2,2,0,0,5,3,0,5,5,0,0
10,CHI,7,2,0,7,7,0,0,2,1,0,2,2,0,0
11,PHI,7,2,0,5,6,0,1,2,2,0,2,2,0,0
12,MIN,3,1,0,3,3,0,0,2,2,0,1,1,1,1
13,NE,2,4,0,2,2,0,0,3,0,0,3,3,0,0
14,ATL,5,3,0,4,5,0,0,5,1,0,4,4,0,1
15,BUF,1,2,0,1,1,0,0,1,4,0,1,1,0,0
16,TB,2,2,0,2,2,0,0,0,1,0,0,0,0,0
17,DET,4,0,0,4,4,0,0,3,0,0,2,2,0,1
