WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,WAS,2,2,0,2,2,0,0,1,0,0,0,1,0,0
2,OAK,3,3,0,3,3,0,0,2,0,0,2,2,0,0
3,NYG,2,1,0,2,2,0,0,3,3,0,3,3,0,0
4,BUF,2,3,0,2,2,0,0,2,1,0,2,2,0,0
5,DAL,2,1,0,2,2,0,0,2,2,0,2,2,0,0
6,IND,4,0,0,4,4,0,0,4,2,0,3,3,0,1
7,PIT,2,3,0,2,2,0,0,3,3,0,3,3,0,0
8,TEN,3,3,0,3,3,0,0,2,1,0,1,1,0,1
9,PHI,3,0,0,3,3,0,0,4,1,0,4,4,0,0
11,CLE,2,3,0,2,2,0,0,1,0,0,1,1,0,0
12,CIN,1,2,0,1,1,0,0,2,2,1,2,2,0,0
13,TEN,6,1,0,6,6,0,0,3,0,0,3,3,0,0
14,JAX,3,2,0,3,3,0,0,1,2,0,1,1,0,0
15,IND,1,1,0,1,1,0,0,2,1,0,2,2,0,0
16,BAL,1,6,0,1,1,0,0,2,0,0,1,1,0,1
17,TEN,3,0,1,3,3,0,0,2,1,0,2,2,0,0
