WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,TEN,1,1,0,1,1,0,0,2,4,0,2,2,0,0
2,DEN,2,1,0,2,2,0,0,3,1,0,3,3,0,0
3,MIA,5,0,0,4,4,0,1,1,2,1,1,1,0,0
4,NE,5,2,0,5,5,0,0,2,0,0,2,2,0,0
5,SF,2,1,0,2,2,0,0,1,5,0,1,1,0,0
7,SD,2,3,0,2,2,0,0,2,2,0,2,2,0,0
8,STL,4,2,0,4,4,0,0,1,0,0,1,1,0,0
9,NYJ,3,1,0,3,3,0,0,1,0,0,1,1,0,0
10,BUF,2,1,0,2,2,0,0,1,2,0,1,1,0,0
11,SEA,3,1,0,3,3,0,0,2,2,0,2,2,0,0
12,OAK,2,2,0,2,2,0,0,3,1,0,3,3,0,0
13,DEN,2,1,0,1,1,0,1,2,5,0,2,2,0,0
14,ARI,2,0,0,2,2,0,0,1,3,0,0,0,1,1
