WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,NE,3,4,0,3,3,0,0,2,2,0,2,2,0,0
2,BUF,1,1,0,1,1,0,0,2,5,0,2,2,0,0
3,KC,1,2,1,1,1,0,0,5,0,0,4,4,0,1
4,OAK,5,1,0,5,5,0,0,2,0,0,2,2,0,0
6,GB,3,1,0,3,3,0,0,3,2,0,3,3,0,0
7,CHI,3,2,0,3,3,0,0,2,0,0,2,2,0,0
8,JAX,3,2,0,3,3,0,0,1,2,0,1,1,0,0
9,SD,4,3,0,4,4,0,0,0,0,0,0,0,0,0
10,DET,1,3,0,1,1,0,0,2,2,0,2,2,0,0
11,BUF,2,2,0,2,2,0,0,0,3,0,0,0,0,0
12,DEN,5,0,0,4,4,1,1,5,1,0,4,4,1,1
13,NYJ,1,3,0,1,1,0,0,1,2,0,1,1,0,0
14,BAL,1,2,0,1,1,0,0,4,0,0,4,4,0,0
