WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,STL,4,2,0,4,4,0,0,0,2,0,0,0,0,0
2,NE,1,0,0,1,1,0,0,3,3,0,3,3,0,0
3,NO,0,3,0,0,0,0,0,3,0,0,2,3,0,0
4,ATL,4,4,0,3,3,1,1,4,0,0,4,4,0,0
5,GB,1,1,0,1,1,0,0,6,0,0,6,6,0,0
6,DET,0,1,0,0,0,0,0,2,1,0,2,2,0,0
7,BUF,1,3,0,1,1,0,0,2,1,0,2,2,0,0
8,TB,2,2,0,1,1,0,0,1,2,0,1,1,0,0
9,WAS,4,0,0,3,3,1,1,3,2,0,2,2,0,1
11,CHI,1,2,0,1,1,0,0,3,0,0,3,3,0,0
12,GB,2,2,0,2,2,0,0,3,1,0,3,3,0,0
13,CAR,4,1,0,4,4,0,0,1,2,0,1,1,0,0
14,NYJ,3,1,0,3,3,0,0,1,5,0,1,1,0,0
