WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,OAK,2,2,0,1,1,0,1,2,0,0,2,2,0,0
2,GB,3,1,0,3,3,0,0,3,3,0,2,2,1,1
3,CHI,1,4,0,1,1,0,0,3,2,0,3,3,0,0
4,DET,2,1,0,2,2,0,0,3,1,0,3,3,0,0
5,SD,0,0,0,0,0,0,0,4,1,0,4,4,0,0
6,DEN,2,1,0,2,2,0,0,4,1,0,4,4,0,0
7,NE,2,4,0,1,1,0,1,3,2,0,3,3,0,0
8,BUF,3,1,0,2,2,0,1,5,3,0,4,5,0,0
9,KC,1,1,0,1,1,0,0,3,1,0,3,3,0,0
10,PIT,2,2,0,2,2,0,0,1,2,0,1,1,0,0
12,BUF,0,1,0,0,0,0,0,5,1,0,5,5,0,0
13,MIA,1,2,0,1,1,0,0,1,3,0,1,1,0,0
14,MIN,1,5,1,1,1,0,0,3,1,0,3,3,0,0
