WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,NYJ,2,0,0,2,2,0,0,2,2,0,1,1,0,1
2,HOU,2,0,0,2,2,0,0,3,3,0,3,3,0,0
3,NE,0,3,0,0,0,0,0,1,3,0,1,1,0,0
4,MIA,2,0,0,2,2,0,0,5,1,0,5,5,0,0
6,SD,4,0,0,4,4,0,0,4,1,0,4,4,0,0
7,ARI,1,2,0,1,1,0,0,3,1,0,3,3,0,0
8,CLE,1,2,0,1,1,0,0,2,3,0,2,2,0,0
9,SEA,3,1,0,3,3,0,0,3,3,0,3,3,0,0
10,DEN,2,1,0,2,2,0,0,5,2,0,5,5,0,0
11,SD,0,2,0,0,0,0,0,1,2,0,1,1,0,0
12,KC,3,1,0,3,3,0,0,2,2,0,2,2,0,0
13,STL,0,0,0,0,0,0,0,7,1,0,7,7,0,0
14,SF,3,1,0,3,3,0,0,1,2,0,1,1,0,0
