WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,JAX,4,2,0,4,4,0,0,2,1,0,2,2,0,0
2,IND,3,3,0,3,3,0,0,3,2,0,3,3,0,0
3,WAS,4,3,0,4,4,0,0,4,2,0,4,4,0,0
4,SF,3,0,0,3,3,0,0,2,4,0,2,2,0,0
5,STL,4,2,0,4,4,0,0,4,0,0,4,4,0,0
6,NYG,3,2,0,3,3,0,0,0,0,0,0,0,0,0
8,ARI,2,2,0,2,2,0,0,3,1,0,3,3,0,0
9,HOU,4,1,0,4,4,0,0,3,0,0,3,3,0,0
10,CAR,6,1,0,6,6,0,0,3,0,0,3,3,0,0
11,GB,2,2,0,2,2,0,0,7,2,0,5,6,0,1
12,TEN,4,5,0,4,4,0,0,3,1,0,3,3,0,0
13,DAL,3,4,0,3,3,0,0,1,1,0,1,1,0,0
14,SEA,2,0,0,2,2,0,0,3,1,0,3,3,0,0
15,DAL,3,2,0,3,3,0,0,5,1,0,5,5,0,0
16,WAS,3,1,0,3,3,0,0,3,2,0,3,3,0,0
17,NYG,4,2,0,4,4,0,0,2,4,0,2,2,0,0
