WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,ARI,2,1,0,2,2,0,0,2,2,0,0,0,0,2
2,SEA,3,3,0,3,3,0,0,3,0,0,3,3,0,0
3,BUF,2,2,1,2,2,0,0,1,1,0,1,1,0,0
4,JAX,3,4,0,3,3,0,0,2,0,0,2,2,0,0
5,NYJ,4,1,0,4,4,0,0,0,0,0,0,0,0,0
6,OAK,4,1,0,4,4,0,0,4,0,0,4,4,0,0
7,KC,2,2,0,2,2,0,0,2,3,0,2,2,0,0
8,DEN,3,0,0,3,3,0,0,5,0,0,5,5,0,0
9,MIA,0,0,0,0,0,0,0,4,3,0,4,4,0,0
11,OAK,1,2,0,1,1,0,0,0,2,0,0,0,0,0
12,STL,3,2,0,3,3,0,0,3,1,0,3,3,0,0
13,BAL,4,2,0,4,4,0,0,3,4,0,3,3,0,0
14,NE,2,0,0,2,2,0,0,2,3,0,2,2,0,0
15,DEN,1,1,0,1,1,0,0,1,5,0,1,1,0,0
16,SF,5,1,0,5,5,0,0,5,0,0,5,5,0,0
