WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,MIN,0,2,0,0,0,0,0,4,2,0,4,4,0,0
2,TB,1,4,0,1,1,0,0,2,1,0,2,2,0,0
3,DAL,4,1,0,4,4,0,0,4,2,0,4,4,0,0
5,PHI,4,0,0,4,4,0,0,4,2,0,4,4,0,0
6,SF,2,1,0,2,2,0,0,4,1,0,4,4,0,0
7,SEA,4,0,0,4,4,0,0,3,2,0,2,2,0,1
8,KC,1,0,0,1,1,0,0,4,2,0,4,4,0,0
9,SF,1,2,0,1,1,0,0,1,1,0,1,1,0,0
10,ARI,2,0,0,2,2,0,0,4,1,0,4,4,0,0
11,DEN,1,5,0,1,1,0,0,1,0,0,1,1,0,0
12,SD,3,1,0,3,3,0,0,3,2,0,3,3,0,0
13,OAK,7,1,0,7,7,0,0,0,0,0,0,0,0,0
14,WAS,3,1,0,1,2,1,1,0,0,0,0,0,0,0
15,ARI,0,2,0,0,0,0,0,0,4,0,0,0,0,0
16,NYG,3,2,0,3,3,0,0,4,3,0,4,4,0,0
17,SEA,0,2,0,0,0,0,0,2,2,0,2,2,0,0
