WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,KC,2,4,0,2,2,0,0,1,1,0,1,1,0,0
2,DAL,1,1,0,1,1,0,0,2,4,0,2,2,0,0
3,CIN,1,0,0,1,1,0,0,4,1,1,4,4,0,0
4,IND,2,1,0,2,2,0,0,5,2,0,5,5,0,0
5,CLE,4,0,0,4,4,0,0,3,2,1,3,3,0,0
6,JAX,1,3,0,1,1,0,0,2,0,0,2,2,0,0
7,WAS,2,1,0,2,2,0,0,1,4,0,1,1,0,0
8,HOU,2,1,0,1,1,0,1,3,3,0,3,3,0,0
10,BAL,1,0,0,1,1,0,0,3,0,0,3,3,0,0
11,PIT,3,1,0,3,3,0,0,3,2,0,3,3,0,0
12,PHI,3,1,0,3,3,0,0,4,5,0,4,4,0,0
13,HOU,3,0,0,3,3,0,0,6,1,0,6,6,0,0
