WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,HOU,1,0,0,0,1,0,0,2,1,0,2,2,0,0
2,JAX,5,2,0,5,5,0,0,1,1,0,1,1,0,0
3,PHI,4,2,0,4,4,0,0,4,3,0,4,4,0,0
4,NYG,2,0,0,2,2,0,0,6,1,0,6,6,0,0
5,SEA,2,1,0,2,2,0,0,3,2,0,3,3,0,0
6,ARI,2,2,0,2,2,0,0,3,3,0,3,3,0,0
7,TEN,1,4,0,1,1,0,0,2,1,0,2,2,0,0
8,DAL,2,2,0,2,2,0,0,2,1,0,2,2,0,0
9,MIN,3,2,0,2,2,0,1,4,0,0,3,3,1,1
11,TB,1,0,0,1,1,0,0,3,2,0,3,3,0,0
12,SF,1,2,0,1,1,0,0,2,1,0,2,2,0,0
13,IND,3,2,0,3,3,0,0,7,0,0,7,7,0,0
14,STL,0,0,0,0,0,0,0,3,1,0,1,2,1,1
15,NYG,1,2,0,1,1,0,0,3,1,0,3,3,0,0
